0
" M.O.P. Vaishnav College for Women, Chennai "
" CMR College of Engineering & Technology - [CMRCET], Hyderabad "
" National Institute of Technology - [NIT], Durgapur "
" Berchmans Institute of Management Studies - [BIMS], Kottayam "
" Bhartiya Vidya Bhavan Institute of Management Science - [BIMS], Kolkata "
" Presidency University, School of Management, Bangalore "
" Easwari Engineering College - [EEC], Chennai "
" Model Institute of Engineering and Technology - [MIET], Jammu "
" GITA, Bhubaneswar "
" BMS College of Engineering - [BMSCE], Bangalore "
" Hallmark Business School - [HBS], Tiruchirappalli "
" The Oxford College of Business Management, Bangalore "
" Delhi School of Business - VIPS Technical Campus, New Delhi "
" KLS Institute of Management Education & Research - [KLS IMER], Belgaum "
" Tilak Raj Chadha Institute of Management & Technology - [TIMT], Yamuna Nagar "
" St Joseph's Degree and  PG College, Hyderabad "
" Chaitanya Bharathi Institute of Technology - [CBIT], Hyderabad "
" Aristotle Post Graduate College, Hyderabad "
" MGM Institute of Management & Research- [MGM IOM & R], Aurangabad "
" Indian Academy Group of Institutions - [IAGI], Bangalore "
" Dr. V.N. Bedekar Institute of Management Studies - [DRVNBIMS], Thane "
" Francis Xavier Engineering College, Tirunelveli "
" T John College - [TJC], Bangalore "
" ITM Business School, Warangal "
" Uttaranchal Institute of  Management, Dehradun "
" Jaipur National University, School of Business & Management, Jaipur "
" GNVS Institute of Management - [GNVSIOM], Mumbai "
" Poddar Management and Technical Campus, Jaipur "
" ITM University, Raipur "
" Presidency College, Bangalore "
" BLDE Association's AS Patil College of Commerce, Bijapur "
" Astha School of Management, Bhubaneswar "
" Institute of Business Management - GLA University - [GLAIBM], Mathura "
" Holy Grace Academy of Management Studies - [HGAMS] Mala, Thrissur "
" People's Institute of Management & Research - [PIMR], Bhopal "
" Maharaja Sayajirao University of Baroda - [MSU], Vadodara "
" Virudhunagar Hindu Nadar's Senthikumara Nadar College - [VHNSNC], Virudhunagar "
" MES College Marampally, Aluva "
" S. V. Institute of Management - [SVIM], Kadi "
" Greater Noida Institute Of Technology MBA Institute, Greater Noida "
" Kanpur Institute of Technology - [KIT], Kanpur "
" Sardar Patel University - [SPU], Vallabh Vidyanagar "
" Baba Farid College of Management and Technology - [BFCMT], Bathinda "
" Royal Global University - [RGU], Guwahati "
" Shri Vaishnav Institute of Management - [SVIM], Indore "
" GS College of Commerce and Economics, Nagpur "
" The Oxford College of Engineering, Bangalore "
" Sinhgad Business School - [SBS] Erandwane, Pune "
" MEASI Institute of Management Royapettah, Chennai "
" T John Institute of Management and Science - [TIMS], Bangalore "
" Sinhgad Institute of Management - [SIOM], Pune "
" Indira College of Engineering & Management - [ICEM], Pune "
" Sagar Institute of Research and Technology - [SIRT], Bhopal "
" CMR Center for Business Studies - [CMRCBS], Bangalore "
" AJ Institute of Management - [AJIM], Mangalore "
" MAM BSchool - [MAMBS], Tiruchirappalli "
" Seshadripuram Institute of Management Studies - [SIMS], Bangalore "
" Tilka Manjhi Bhagalpur University - [TMBU], Bhagalpur "
" Global Business School - [GBS], Hubli "
" Martin Luther Christian University - [MLCU], Shillong "
" Amjad Ali Khan College of Business Administration, Hyderabad "
" Dr. Panjabrao Deshmukh Institute of Management Technology and Research - [PDIMTR], Nagpur "
" Institute of Management Study - [IMS], Kolkata "
" CH Institute of Management & Commerce - [CHIMC], Indore "
" Institute of Business Management and Research -[IBMR], Hubli "
" Surana College, Bangalore "
" Adhunik Institute of Productivity Management & Research - [AIPMR], Ghaziabad "
" Amity Business School - [ABSM] Manesar, Gurgaon "
" Vaishali Institute of Business and Rural Management - [VIBRM], Muzaffarpur "
" Vidyasagar Institute of Management - [VIM], Bhopal "
" Asian Business School - [ABS], Noida "
" Patna College, Patna "
" J.J. College of Engineering and Technology - [JJCET], Tiruchirappalli "
" FLAME University, Pune "
" MIT World Peace University -[MITWPU], Pune "
" Acharya Bangalore B-School - [ABBS], Bangalore "
" AISSM Society Institute of Management - [AISSMS IOM], Pune "
" IILM Graduate School of Management - [IILM GSM], Greater Noida "
" Ramaiah Institute of Management, Bangalore "
" Thiagarajar School of Management - [TSM], Madurai "
" Suryadatta Institute of Management and Mass Communication - [SIMMC], Pune "
" Symbiosis Institute of Management Studies - [SIMS], Pune "
" Sharda University, School of Business Studies - [SBS], Greater Noida "
" Universal Business School - [UBS], Mumbai "
" Fostiima Business School, New Delhi "
" Vels Institute of Science, Technology & Advanced Studies, Chennai "
" KR Mangalam University, Gurgaon "
" SAGE University, Indore "
" Siva Sivani Institute of Management - [SSIM], Hyderabad "
" Arihant Group of Institutes - [AGI], Pune "
" KCT Business School - [KCTBS], Coimbatore "
" MITSOM  College, Pune "
" KIET Group of Institutions - [KIET], Ghaziabad "
" G L Bajaj Institute of Technology and Management, Greater Noida "
" PES University - [PESU], Bangalore "
" IIMT College of Management, Greater Noida "
" Lal Bahadur Shastri Institute of Management and Development Studies - [LBSIMDS], Lucknow "
" Presidency Business School, Bangalore "
" Indus Business Academy - [IBA], Greater Noida "
" ITM Business School Hullimavu, Bangalore "
" Maharishi Markandeshwar - [MMU], Ambala "
" Humera Khan Institute of Management Studies and Research - [HKIMSR], Mumbai "
" Master School of Management - [MSM], Meerut "
" ASM's Institute of Business Management & Research - [IBMR], Pune "
" St. Joseph's Institute of Management - [JIM], Tiruchirappalli "
" JECRC University - [JU], Jaipur "
" Amity University, Gwalior "
" KV Institute of Management and Informations Studies - [KVIMIS], Coimbatore "
" M.P. Birla Institute of Management - [MPBIM], Bangalore "
" Jagan Institute of Management Studies - [JIMS], Jaipur "
" Jagran LakeCity Business School, Bhopal "
" Amity University, Jaipur "
" SRM University Delhi NCR, Sonepat "
" SRMIST Delhi NCR Campus, Ghaziabad "
" Dayananda Sagar University - [DSU], Bangalore "
" Lotus Business School - [LBS] Punawale, Pune "
" International School of Management - [ISM], Patna "
" Pranveer Singh Institute of Technology - [PSIT], Kanpur "
" Tata Institute of Social Sciences - [TISS], Mumbai "
" Indian Institute of Technology Madras - [IITM], Chennai "
" Delhi University - [DU], New Delhi "
" University of Rajasthan - [RU], Jaipur "
" Indira Institute of Management - [IIMP], Pune "
" Xavier Institute of Management - [XIMB], Bhubaneswar "
" Chetana's Institute of Management and Research - [CIMR], Mumbai "
" Indian Institute of Technology - [IIT], Kanpur "
" Indian Institute of Technology - [IIT], Dhanbad "
" Kalinga Institute of Industrial Technology - [KIIT], Bhubaneswar "
" Dr DY Patil Institute of Management & Research - [DYPIMR ] Pimpri, Pune "
" SVKM's  Narsee Monjee Institute of Management Studies - [NMIMS University], Shirpur "
" GNIOT Group of Institutions - [GNIOT], Greater Noida "
" Institute of Advanced Management Research - [IAMR], Ghaziabad "
" Taxila Business School - [TBS], Jaipur "
" Lalit Narayan Mishra Institute of Economic Development and Social Change - [LNMI], Patna "
" Godavari Institute of Engineering and Technology - [GIET] Rajahmundry, East Godavari "
" C. V. Raman Global University, Bhubaneswar "
" Shri Ramdeobaba College of Engineering and Management - [RCOEM], Nagpur "
" SVKM's Narsee Monjee Institute of Management Studies - [NMIMS University], Navi Mumbai "
" Patna Women's College - [PWC], Patna "
" Sharda University - [SU], Greater Noida "
" Indian Institute of Science - [IISc], Bangalore "
" Jain University - [JU], Bangalore "
" Galgotias University - [GU], Greater Noida "
" Nirma University - [NU], Ahmedabad "
" Bennett University, Greater Noida "
" SASTRA University, Thanjavur "
" Singhania University, Jhunjhunu "
" Chitkara University - [CU], Patiala "
" Shiv Nadar University - [SNU], Greater Noida "
" Jaipur National University - [JNU], Jaipur "
" K L University - [KLH], Hyderabad "
" Manipal University - [MUJ], Jaipur "
" Integral University, Lucknow "
" VIT University - [VIT], Chennai "
" K L University - [KLU], Guntur "
" Alliance University, Bangalore "
" Amity University, Kolkata "
" Pandit Deendayal Petroleum University - [PDPU], Gandhi Nagar "
" VIT Bhopal University, Bhopal "
" Maharishi Arvind Institute of Engineering & Technology - [MAIET], Jaipur "
" Ram Krishna Dwarika College - [RKD], Patna "
" Doon University, Dehradun "
" J.S. University - [JSU], Shikohabad "
" Gurugram University, Gurgaon "
" GLA University, Mathura "
" Presidency University, Bangalore "
" Anna University - [AU], Chennai "
" Guru Nanak Dev University - [GNDU], Amritsar "
" Gauhati University - [GU], Guwahati "
" Lakshmi Narain College of Technology - [LNCT], Bhopal "
" National Institute of Construction Management and Research - [NICMAR], Pune "
" Amity University, Mumbai "
" Great Learning, Gurgaon "
" Techno India University, Kolkata "
" AVVM Sri Pushpam College, Thanjavur "
" CEPT University, Ahmedabad "
" Kalasalingam Academy of Research and Education, Krishnankovil "
" Delhi School of Economics, University of Delhi - [DSE], New Delhi "
" Adamas University, Kolkata "
" Centurion University of Technology and Management - [CUTM], Visakhapatnam "
" Centurion University of Technology and Management - [CUTM], Paralkhemundi "
" Centurion University of Technology and Management - [CUTM], Bhubaneswar "
" Ganpat University - [GU], Mehsana "
" RKDF University, Bhopal "
" SunRise University - [SRU], Alwar "
" Uttaranchal University, Dehradun "
" OPJS University, Churu "
" PDM University, Bahadurgarh "
" Banasthali Vidyapith, Jaipur "
" Shoolini University, Solan "
" Awadhesh Pratap Singh University - [APSU], Rewa "
" Monad University, Hapur "
" Department of Management Science, Savitribai Phule Pune University - [PUMBA], Pune "
" CMR University - [CMRU], Bangalore "
" Brainware University, Kolkata "
" Sikkim Manipal University - [SMU], East Sikkim "
" Graphic Era University - [GEU], Dehradun "
" BML Munjal University - [BMU], Gurgaon "
" Sandip University, Madhuban "
" NSHM Knowledge Campus, Kolkata "
" Narsee Monjee College of Commerce and Economics, Mumbai "
" Shaheed Sukhdev College of Business Studies - [SSCBS], New Delhi "
" Sri Sri University - [SSU], Cuttack "
" Indian Maritime University - [IMU], Chennai "
" Indian Institute of Management - [IIM], Nagpur "
" Indian Institute of Management - [IIM], Amritsar "
" Krea University, Sri City "
" YBN University - [YBN], Ranchi "
" Khallikote University -[KUB], Berhampur "
" Indus University, Ahmedabad "
" Amity University, Gurgaon "
" Academy of Maritime Education and Training University - [AMET], Chennai "
" IFTM University, Moradabad "
" Shobhit University, Meerut "
" Marwadi University - [MU], Rajkot "
" Glocal University, Saharanpur "
" SAGE University, Bhopal "
" Garden City University - [GCU], Bangalore "
" Acharya Institute of Technology - [AIT], Bangalore "
" DIT University - [DIT], Dehradun "
" Adhiyamaan College of Engineering, Hosur "
" Punjab Agricultural University - [PAU], Ludhiana "
" Devi Ahilya Vishwavidyalaya, Indore "
" Osmania University - [OU], Hyderabad "
" Invertis University, Bareilly "
" Andhra University - [AU], Visakhapatnam "
" Deenbandhu Chhotu Ram University of Science and Technology - [DCRUST], Sonepat "
" J.C. Bose University Of Science And Technology, Faridabad "
" RIMT  University, Gobindgarh "
" MATS University, Raipur "
" MICA - The School of Ideas, Ahmedabad "
" Guru Nanak Dev University College - [GNDUC], Jalandhar "
" ICFAI Business School - [IBS], Mumbai "
" O. P. Jindal Global University - [JGU], Sonepat "
" Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya- [MGCGV], Satna "
" Narsee Monjee Institute of Management Studies - [NMIMS University], Bangalore "
" Indian Institute of Management - [IIM], Sirmaur "
" Delhi Pharmaceutical Sciences and Research University - [DPSRU], New Delhi "
" Indian Institute of Management - [IIMJ], Jammu "
" National Institute of Bank Management - [NIBM], Pune "
" Jain University, Kochi "
" Institute of Engineering and Technology - [IET], Lucknow "
" Suresh Gyan Vihar University - [SGVU], Jaipur "
" Quantum University, Roorkee "
" JSS Academy of Technical Education - [JSSATE], Noida "
" Trident Academy of Technology, Bhubaneswar "
" BN College of Engineering and Technology - [BNCET], Lucknow "
" IIS (Deemed to be University) - [IISU], Jaipur "
" Indus Institute of Technology and Management - [IITM], Kanpur "
" Kautilya Institute of Technology and Engineering and School of Management-[KITE-SOM], Jaipur "
" Velammal Engineering College - [VEC], Chennai "
" Rabindranath Tagore University - [RNTU], Bhopal "
" Mangalayatan University - [MU], Aligarh "
" University of Science and Technology - [USTM], Ri-Bhoi "
" Rama University, Kanpur "
" Karnavati University - [KU], Gandhi Nagar "
" Sister Nivedita University - [SNU], Kolkata "
" Navrachana University - [NUV], Vadodara "
" Oriental University - [OU], Indore "
" Noida International University - [NIU], Greater Noida "
" CMJ University, Ri-Bhoi "
" Amity University, Patna "
" Aryabhatta Knowledge University - [AKU], Patna "
" Guru Kashi University, Bathinda "
" GLS University, Ahmedabad "
" Indian Institute of Management Visakhapatnam - [IIMV], Visakhapatnam "
" Indian Institute of Management - [IIM], Sambalpur "
" VIT Business School - [VITBS], Chennai "
" IFIM Business School, Mumbai "
" Madhav University - [MU], Sirohi "
" Graphic Era Hill University - [GEHU], Dehradun "
" Ness Wadia College of Commerce, Pune "
" KLE University, Belgaum "
" Indian Institute of Management - [IIM-BG] Bodh Gaya, Gaya "
" Symbiosis International University - [SIUH], Hyderabad "
" New Delhi Institute of Management - [NDIM], New Delhi "
" New Delhi Institution of Management - [NDIM], New Delhi "
" GSFC University, Vadodara "
" AISECT University, Hazaribagh "
" IILM University, Gurgaon "
" St. Xavier's University - [SXUK], Kolkata "
" Indian School of Business Management and Administration - [ISBM], Ahmedabad "
" National Institute of Rural Development and Panchayati Raj - [NIRDPR], Hyderabad "
" Uka Tarsadia University, Bardoli "
" AKS University - [AKSU], Satna "
" ITM University, Gwalior "
" Babu Banarasi Das University - [BBDU], Lucknow "
" Rayat Bahra University, Mohali "
" Amity University, Raipur "
" Assam Don Bosco University - [ADBU], Guwahati "
" Madras School of Economics - [MSE], Chennai "
" ICFAI Business School - [IBS], Bangalore "
" International Institute of Business Studies - [IIBS], Bangalore "
" Koshys Institute of Management Studies - [KOSHYS], Bangalore "
" Auro University, Surat "
" ICFAI Business School - [IBS], Gurgaon "
" Management Development Institute - [MDI], Murshidabad "
" National Insurance Academy - [NIA], Pune "
" Birla Global University - [BGU], Bhubaneswar "
" Praxis Business School -[PBS], Kolkata "
" Baddi University of Emerging Sciences and Technologies - [BUEST], Baddi "
